//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
goodbye, goodbye|~~|nn , nn|~~|1/1 , 1/1|~~|0 0 0
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
//The Mild Mannered Army|~~|nn jj jj nnp|~~||~~|89 0 0 1
|~~||~~||~~|
The Mild Mannered Army combats the bitterness inside of me|~~|dt jj jj nnp nns dt nn in in prp|~~|0 1 1/0 1/0 1/1 0 1/0/0 0/1 1 1|~~|89 0 0 1 0 89 0 0 26 14
Melting my gun, two become one|~~|vbg prp$ nn , cd vb cd|~~|1/0 1 1 , 0 0/1 1|~~|0 22 0 0 0 0 6
The orders from the officers benefit all of the soldiers|~~|dt nns in dt nns nn dt in dt nns|~~|0 1/0 1 0 1/0/0 1/0/0 1 1 0 1/0|~~|89 1 13 89 0 0 15 26 89 0
We train and we sweat and soon become vets|~~|prp nn cc prp nn cc rb vb nns|~~|1 1 1 1 1 1 1 0/1 1|~~|23 0 47 23 0 47 0 0 0
|~~||~~||~~|
Hated and wasted but why?|~~|vbd cc vbn cc wrb ?|~~|1/0 1 1/0 1 1 ?|~~|0 47 0 5 3 0
No good reason to save them cause they can save us all|~~|dt jj nn to vb prp nn prp md vb prp dt|~~|1 1 1/0 1 1 1 1 1 1 1 1 1|~~|5 1 0 51 0 1 1 4 7 0 1 15
They’ve taken all these measures to sever their cause|~~|nnp vbn dt dt nns to vb prp$ nn|~~|1 1/0 1 1 1/0 1 1/0 1 1|~~|0 0 15 0 0 51 0 1 1
But they don’t need a cure they need a war|~~|cc prp nn vbn dt nn prp vbn dt nn|~~|1 1 1 1 1 1 1 1 1 1|~~|5 4 7 4 43 0 4 4 43 0
|~~||~~||~~|
The Mild Mannered Army incites a regular group orgy|~~|dt jj jj nnp nns dt jj nn nn|~~|0 1 1/0 1/0 1/1 1 1/0/0 1 1/0|~~|89 0 0 1 0 43 0 0 0
Gun against gun, flesh within bum|~~|nnp in nn , nn in nn|~~|1 0/1 1 , 1 0/1 1|~~|0 0 0 0 0 0 0
Designed and taught to draw blood but the sword is also phallic|~~|vbn cc vbn to vb nn cc dt nn vbz rb nn|~~|0/1 1 1 1 1 1 1 0 1 1 1/0 1/1|~~|0 47 0 51 0 2 5 89 0 15 0 0
There are choices to kill and choices to fill|~~|ex vbp nns to vb cc nns to vb|~~|1 1 1/0 1 1 1 1/0 1 1|~~|2 3 0 51 0 47 0 51 0
|~~||~~||~~|
Commit an act of murder to further the war|~~|vb dt nn in nn to jj dt nn|~~|0/1 1 1 1 1/0 1 1/0 0 1|~~|0 6 0 26 0 51 0 89 0
They stand a chance to fight the enemy boys with love|~~|prp vb dt nn to nn dt nn nns in nn|~~|1 1 1 1 1 1 0 1/0/0 1 1 1|~~|4 0 43 0 51 1 89 0 0 13 2
Hated and wasted but why?|~~|vbd cc vbn cc wrb ?|~~|1/0 1 1/0 1 1 ?|~~|0 47 0 5 3 0
No good reason to fear them just cheer them on|~~|dt jj nn to nn prp rb nn prp in|~~|1 1 1/0 1 1 1 1 1 1 1|~~|5 1 0 51 0 1 9 0 1 29
|~~||~~||~~|
I’d risk my life for the army|~~|nnp nn prp$ nn in dt nn|~~|1 1 1 1 1 0 1/0|~~|2 0 22 3 16 89 1
A P.O.W. for eternity|~~|dt nnp nnp nnp in nn|~~|1 1 . 1 . 1/0/0 . 1 0/1/0/0|~~|43 0 0 0 16 0
Prison is fun when my army has won|~~|nnp vbz nn wrb prp$ nn vbz vbd|~~|1/0 1 1 1 1 1/0 1 1|~~|0 15 0 9 22 1 0 0
|~~||~~||~~|
We’ve taken all these measures to sever their cause|~~|nnp vbn dt dt nns to vb prp$ nn|~~|1 1/0 1 1 1/0 1 1/0 1 1|~~|0 0 15 0 0 51 0 1 1
They don’t need a cure they need a war|~~|prp nn vbn dt nn prp vbn dt nn|~~|1 1 1 1 1 1 1 1 1|~~|4 7 4 43 0 4 4 43 0
|~~||~~||~~|
Meeting in the sauna we rub down each other|~~|vbg in dt nn prp nn rb dt jj|~~|1/0 0 0 1/0 1 1 1 1 1/0|~~|0 38 89 0 23 0 0 2 0
Peace can beget from buggery I bet|~~|nnp md vb in nn nnp nn|~~|1 1 0/1 1 1/1/1 1 1|~~|0 7 0 13 0 57 0
|~~||~~||~~|
|~~||~~||~~|
//High Upon the Church Grounds|~~|nn in dt nnp vbz|~~|1 0/1 0 1 1|~~|0 0 89 0 0
|~~||~~||~~|
I get high on the church grounds|~~|nnp vb jj in dt nn vbz|~~|1 1 1 1 0 1 1|~~|57 0 0 29 89 0 0
The wind in my hair the sun over head|~~|dt nn in prp$ nn dt nn in nn|~~|0 1 0 1 1 0 1 1/0 1|~~|89 0 38 22 0 89 1 0 3
On a bench or behind the stairs|~~|in dt nn cc in dt nns|~~|1 1 1 1 0/1 0 1|~~|29 43 0 6 0 89 0
|~~||~~||~~|
We get high on the church grounds|~~|prp vb jj in dt nn vbz|~~|1 1 1 1 0 1 1|~~|23 0 0 29 89 0 0
The men of cloth stay in their candle-lit box|~~|dt nns in nn vb in prp$ nn nn|~~|0 1 1 1 1 0 1 1/1/1 1|~~|89 0 26 0 0 38 1 0 0
As we unleash hell|~~|in prp vb nn|~~|1 1 0/1 1|~~|7 23 0 2
|~~||~~||~~|
I love the sunny days and our mortal decay|~~|nnp nn dt jj nns cc prp$ jj nn|~~|1 1 0 1/0 1 1 1/0 1/0 0/1|~~|57 2 89 0 0 47 8 0 0
As we watch the church crumble away|~~|in prp vb dt nn vb rb|~~|1 1 1 0 1 1/0 0/1|~~|7 23 2 89 0 0 2
I have one hand on my heart |~~|nnp vbp cd nn in prp$ nn|~~|1 1 1 1 1 1 1|~~|57 5 6 1 29 22 0
And one hand in the dark|~~|cc cd nn in dt jj|~~|1 1 1 0 0 1|~~|47 6 1 38 89 0
As I search the room throbbing for you|~~|in nnp nn dt nn vbg in prp|~~|1 1 1 0 1 1/0 1 1|~~|7 57 0 89 0 0 16 19
|~~||~~||~~|
The drugs get dealt and the cocks get felt |~~|dt nns vb vbn cc dt nns vb vbd|~~|0 1 1 1 1 0 1 1 1|~~|89 1 0 0 47 89 0 0 0
on the church grounds|~~|in dt nn vbz|~~|1 0 1 1|~~|29 89 0 0
The saints over my head defend the innocent |~~|dt nns in prp$ nn vb dt jj|~~|0 1 1/0 1 1 0/1 0 1/0/0|~~|89 0 0 22 3 0 89 0
and the weak of heart|~~|cc dt jj in nn|~~|1 0 1 1 1|~~|47 89 0 26 0
|~~||~~||~~|
I get high when I hear the church bells|~~|nnp vb jj wrb nnp vb dt nn nns|~~|1 1 1 1 1 1 0 1 1|~~|57 0 0 9 57 0 89 0 0
The ringing leads me to repeat its meaning |~~|dt vbg vbz prp to vb prp$ vbg|~~|0 1/0 1 1 1 0/1 1 1/0|~~|89 0 0 14 51 0 2 0
and then to song|~~|cc rb to nn|~~|1 1 1 1|~~|47 6 51 0
|~~||~~||~~|
The song I want is long|~~|dt nn nnp vbp vbz jj|~~|0 1 1 1 1 1|~~|89 0 57 13 15 0
And it moves around and about|~~|cc prp vbz in cc in|~~|1 1 1 0/1 1 0/1|~~|47 11 0 0 47 2
It has a voice singing and a guitar ringing|~~|prp vbz dt nn vbg cc dt nn vbg|~~|1 1 1 1 1/0 1 1 0/1 1/0|~~|11 0 43 0 0 47 43 1 0
A fabled song|~~|dt jj nn|~~|1 1/0 1|~~|43 0 0
|~~||~~||~~|
We stand high on the church grounds|~~|prp vb jj in dt nn vbz|~~|1 1 1 1 0 1 1|~~|23 0 0 29 89 0 0
Holding instruments we call infinite|~~|vbg nns prp vb jj|~~|1/0 1/0/0 1 1 1/0/0|~~|0 0 23 3 0
Play the strangest song|~~|vb dt jjs nn|~~|1 0 1/0 1|~~|0 89 0 0
|~~||~~||~~|
The strange song has drums|~~|dt jj nn vbz nns|~~|0 1 1 1 1|~~|89 0 0 0 0
And bombs blowing up and about|~~|cc nns vbg in cc in|~~|1 1 1/0 1 1 0/1|~~|47 0 0 3 47 2
The saints over my head|~~|dt nns in prp$ nn|~~|0 1 1/0 1 1|~~|89 0 0 22 3
Bring a song to an end as they sing along|~~|vb dt nn to dt nn in prp vb in|~~|1 1 1 1 1 1 1 1 1 0/1|~~|0 43 0 51 6 1 7 4 0 0
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
//Ratify the New|~~|nn dt jj|~~|1/1/1 0 1|~~|0 89 0
|~~||~~||~~|
Cease the design|~~|vb dt nn|~~|1 0 0/1|~~|0 89 0
Halt the line|~~|nnp dt nn|~~|1 0 1|~~|0 89 0
Burn all the news|~~|vb dt dt nn|~~|1 1 0 1|~~|0 15 89 0
Break the ice|~~|vb dt nn|~~|1 0 1|~~|0 89 1
Like the death of his muse|~~|in dt nn in prp$ nn|~~|1 0 1 1 1 1|~~|5 89 0 26 16 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
|~~||~~||~~|
Lead me to light|~~|vb prp to nn|~~|1 1 1 1|~~|0 14 51 0
Calm my fright|~~|jj prp$ nn|~~|1 1 1|~~|0 22 1
Forget what you know|~~|vb wp prp vb|~~|0/1 1 1 1|~~|0 9 19 4
Leave your old|~~|vb prp$ jj|~~|1 1 1|~~|0 26 4
|~~||~~||~~|
Say in your own words |~~|vbp in prp$ jj nns|~~|1 0 1 1 1|~~|1 38 26 4 1
What you’ve heard |~~|wp nn vbn|~~|1 1 1|~~|9 3 0
And what you’ve seen with your own eyes|~~|cc wp nn vbn in prp$ jj nns|~~|1 1 1 1 1 1 1 1|~~|47 9 3 0 13 26 4 2
Canonize the truth|~~|nnp dt nn|~~|1/1/1 0 1|~~|0 89 0
Like the death of he who knows|~~|in dt nn in prp wp vbz|~~|1 0 1 1 1 1 1|~~|5 89 0 26 21 7 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
|~~||~~||~~|
Look into my eyes|~~|vb in prp$ nns|~~|1 0/1 1 1|~~|0 4 22 2
Harmonize|~~|vb|~~|1/0/1|~~|0
Paths you will go|~~|nnps prp md vb|~~|1 1 1 1|~~|0 19 10 3
Let no one know|~~|vb dt cd vb|~~|1 1 1 1|~~|1 5 6 4
Like the death of he who’s born|~~|in dt nn in prp nns vbn|~~|1 0 1 1 1 1 1|~~|5 89 0 26 21 2 2
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
Ratify the new|~~|vb dt jj|~~|1/0/1 0 1|~~|0 89 0
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
|~~||~~||~~|
//In the NA|~~|nn dt to|~~|1 0 1|~~|38 89 5
|~~||~~||~~|
Lose my step|~~|vb prp$ nn|~~|1 1 1|~~|0 22 1
Wash my back|~~|nnp prp$ rb|~~|1 1 1|~~|0 22 3
Hypnotized|~~|vbn|~~|1/0/1|~~|0
Hold me close|~~|vb prp vb|~~|1 1 1|~~|4 14 2
Incomplete|~~|jj|~~|0/0/1|~~|0
Could I be less?|~~|md nnp vb jjr ?|~~|1 1 1 1 ?|~~|1 57 46 1 0
Hold my hand |~~|vb prp$ nn|~~|1 1 1|~~|4 22 1
Watch my back|~~|vb prp$ rb|~~|1 1 1|~~|2 22 3
|~~||~~||~~|
Then I wouldn’t need a single NA, to take each NA as my own. No I wouldn’t need a single thing, higher then anyone, I’d be staring at the ground with my head in the clouds.|~~|rb nnp nn vbn dt jj to , to vb dt to in prp$ jj . dt nnp nn vbn dt jj nn , jjr rb nn , nnp vb vbg in dt nn in prp$ nn in dt nns .|~~|1 1 1 1 1 1/0 1 , 1 1 1 1 1 1 1 . 1 1 1 1 1 1/0 1 , 1/0 1 1/0/1 , 1 1 1/0 1 0 1 1 1 1 0 0 1 .|~~|6 57 6 4 43 5 5 0 51 4 2 5 7 22 4 0 5 57 6 4 43 5 2 0 1 6 1 0 2 46 3 8 89 3 13 22 3 38 89 3 0
|~~||~~||~~|
Animal|~~|jj|~~|1/0/0|~~|1
Holy Ghost|~~|rb nnp|~~|1/0 1|~~|1 1
I take control|~~|nnp vb nn|~~|1 1 0/1|~~|57 4 1
Don’t hold me back|~~|nnp vb prp rb|~~|1 1 1 1|~~|7 4 14 3
Chemical|~~|jj|~~|1/0/0|~~|1
Won’t be late|~~|nnp vb jj|~~|1 1 1|~~|3 46 1
In the NA will be my fate|~~|in dt to md vb prp$ nn|~~|0 0 1 1 1 1 1|~~|38 89 5 10 46 22 3
|~~||~~||~~|
Then I wouldn’t feel the need to NA, if I was tired and used to all, no I wouldn’t have a single thought, free from any MA or BA, staring at the ground with my head in the clouds.|~~|rb nnp nn vb dt vbn to to , in nnp vbd vbn cc vbn to dt , dt nnp nn vbp dt jj vbd , jj in dt nnp cc nnp , vbg in dt nn in prp$ nn in dt nns .|~~|1 1 1 1 0 1 1 1 , 1 1 1 1/0 1 1 1 1 , 1 1 1 1 1 1/0 1 , 1 1 1/0 1 1 1 , 1/0 1 0 1 1 1 1 0 0 1 .|~~|6 57 6 1 89 4 51 5 0 12 57 4 2 47 1 51 15 0 5 57 6 5 43 5 3 0 2 13 3 2 6 2 0 3 8 89 3 13 22 3 38 89 3 0
|~~||~~||~~|
State my name|~~|nnp prp$ nn|~~|1 1 1|~~|1 22 2
Will not complain|~~|md rb vbp|~~|1 1 0/1|~~|10 14 1
In the name|~~|in dt nn|~~|0 0 1|~~|38 89 2
Hold me close|~~|vb prp vb|~~|1 1 1|~~|4 14 2
Want my day|~~|vbp prp$ nn|~~|1 1 1|~~|13 22 4
Take all the blame|~~|vb dt dt nn|~~|1 1 0 1|~~|4 15 89 2
We’ll marry one day|~~|nnp vb cd nn|~~|1 1/0 1 1|~~|4 1 6 4
And close the gate|~~|cc vb dt nn|~~|1 1 0 1|~~|47 2 89 1
|~~||~~||~~|
Then I wouldn’t be the only one, to delve into the sea of NA, no I wouldn’t have a single thought, free from any MA or BA, I’d be staring at the ground with my head in the clouds.|~~|rb nnp nn vb dt rb cd , to vb in dt nn in to , dt nnp nn vbp dt jj vbd , jj in dt nnp cc nnp , nnp vb vbg in dt nn in prp$ nn in dt nns .|~~|1 1 1 1 0 1/0 1 , 1 1 0/1 0 1 1 1 , 1 1 1 1 1 1/0 1 , 1 1 1/0 1 1 1 , 1 1 1/0 1 0 1 1 1 1 0 0 1 .|~~|6 57 6 46 89 6 6 0 51 1 4 89 2 26 5 0 5 57 6 5 43 5 3 0 2 13 3 2 6 2 0 2 46 3 8 89 3 13 22 3 38 89 3 0
|~~||~~||~~|
//He Falls to Me|~~|nn vbz to prp|~~||~~|21 3 51 14
He … … . |~~|prp … … .|~~|1 … … .|~~|21 12 12 0
Falls … … .|~~|vbz … … .|~~|1 … … .|~~|3 12 12 0
To … … .|~~|to … … .|~~|1 … … .|~~|51 12 12 0
Me … … .|~~|prp … … .|~~|1 … … .|~~|14 12 12 0
|~~||~~||~~|
He’ll be the first one|~~|nnp vb dt nn cd|~~|1 1 0 1 1|~~|2 46 89 2 6
Forming alliance|~~|vbg nn|~~|1/0 0/1/0|~~|0 0
Falling, unable|~~|vbg , jj|~~|1/0 , 0/1/0|~~|0 0 0
Fortify our power |~~|vb prp$ nn|~~|1/0/1 1/0 1/0|~~|0 8 0
We’ll ride like horses |~~|nnp vb in nns|~~|1 1 1 1/0|~~|4 0 5 0
on the horizon|~~|in dt nn|~~|1 0 0/1/0|~~|29 89 0
Menacing eyeballs|~~|jj nns|~~|1/0/0 1/1|~~|0 0
Fortitude gallop |~~|nnp nn|~~|1/0/1 1/0|~~|0 0
|~~||~~||~~|
In someone’s head in someone’s bed|~~|in nns nn in nns vbn|~~|0 1/1/1/1 1 0 1/1/1/1 1|~~|38 0 3 38 0 0
|~~||~~||~~|
They’ll keep arriving|~~|nnp vb vbg|~~|1 1 0/1/0|~~|0 0 0
Apples and oranges|~~|nnps cc nns|~~|1/0 1 1/0/0|~~|0 47 0
Gobbling the last dregs  |~~|vbg dt jj nns|~~|1/0/0 0 1 1|~~|0 89 0 0
Mouth full of foul age|~~|nnp jj in jj nn|~~|1 1 1 1 1|~~|1 0 26 0 2
Brim forth eternal|~~|nnp rb jj|~~|1 1 0/1/0|~~|0 0 0
Day of doom coming|~~|nnp in nn vbg|~~|1 1 1 1/0|~~|4 26 0 0
From the cathedral|~~|in dt jj|~~|1 0 0/1/0|~~|13 89 0
Office is crumbling|~~|nnp vbz vbg|~~|1/0 1 1/0/0|~~|0 15 0
Calling to arm us|~~|vbg to nn prp|~~|1/0 1 1 1|~~|1 51 0 1
Armed with our sabers|~~|vbn in prp$ nns|~~|1 1 1/0 1/1|~~|0 13 8 0
Nail in the coffin|~~|nnp in dt nn|~~|1 0 0 1/0|~~|0 38 89 0
Televised newscast|~~|vbn nn|~~|1/0/1 1/1|~~|0 0
Of his great blunder|~~|in prp$ jj nn|~~|1 1 1 1/0|~~|26 16 0 0
All is forgiven|~~|dt nns vbn|~~|1 1 0/1/0|~~|15 15 0
Building our houses|~~|vbg prp$ nns|~~|1/0 1/0 1/0|~~|0 8 0
Closer together|~~|jjr rb|~~|1/0 0/1/0|~~|0 0
|~~||~~||~~|
In someone’s head in someone’s bed|~~|in nns nn in nns vbn|~~|0 1/1/1/1 1 0 1/1/1/1 1|~~|38 0 3 38 0 0
|~~||~~||~~|
He … … .|~~|prp … … .|~~|1 … … .|~~|21 12 12 0
Falls … … .|~~|vbz … … .|~~|1 … … .|~~|3 12 12 0
To … … .|~~|to … … .|~~|1 … … .|~~|51 12 12 0
Me … … .|~~|prp … … .|~~|1 … … .|~~|14 12 12 0
//Colour of a man|~~|nn in dt nn|~~|1/1 1 1 1|~~|0 26 43 2
|~~||~~||~~|
Colour of a man chiseled in stone|~~|nnp in dt nn vbn in nn|~~|1/1 1 1 1 1/0 0 1|~~|0 26 43 2 0 38 0
Is the marker of a man ridded by woe|~~|vbz dt nn in dt nn vbn in nn|~~|1 0 1/0 1 1 1 1/1 1 1|~~|15 89 0 26 43 2 0 6 1
It is the colour of a man stuck in his grey|~~|prp vbz dt nn in dt nn vbn in prp$ jj|~~|1 1 0 1/1 1 1 1 1 0 1 1|~~|11 15 89 0 26 43 2 0 38 16 0
And the mood of his brood that he has painted on|~~|cc dt nn in prp$ nn in prp vbz vbn in|~~|1 0 1 1 1 1 1 1 1 1/0 1|~~|47 89 0 26 16 0 15 21 0 0 29
His face is painted on with pools of clay|~~|prp$ nn vbz vbn in in nns in nn|~~|1 1 1 1/0 1 1 1 1 1|~~|16 1 15 0 29 13 0 26 0
And the blood of an animal run astray|~~|cc dt nn in dt jj vb rb|~~|1 0 1 1 1 1/0/0 1 0/1|~~|47 89 2 26 6 1 0 0
He is the colour of a man who plays in sport|~~|prp vbz dt nn in dt nn wp vbz in nn|~~|1 1 0 1/1 1 1 1 1 1 0 1|~~|21 15 89 0 26 43 2 7 0 38 0
And the wisdom of his words are simply taken on|~~|cc dt nn in prp$ nns vbp rb vbn in|~~|1 0 1/0 1 1 1 1 1/0 1/0 1|~~|47 89 0 26 16 1 3 2 0 29
|~~||~~||~~|
He covers me with ash and falls asleep|~~|prp vbz prp in nn cc vbz rb|~~|1 1/0 1 1 1 1 1 0/1|~~|21 2 14 13 0 47 3 0
I’m whispering the words that he has grown to love|~~|nnp vbg dt nns in prp vbz vbn to nn|~~|1 1/0/0 0 1 1 1 1 1 1 1|~~|8 0 89 1 15 21 0 0 51 2
Words can have a way to pull the string|~~|nnps md vbp dt nn to vb dt vbg|~~|1 1 1 1 1 1 1 0 1|~~|1 7 5 43 5 51 0 89 0
A grunting of the “ifs” and “fs” and then the “oh”|~~|dt nn in dt nn cc nn cc rb dt nn|~~||~~|43 0 26 89 0 47 0 47 6 89 6
It is simpler when I think about being no more then one of his many trophies|~~|prp vbz jjr wrb nnp vbp in vbg dt jjr rb cd in prp$ jj nns|~~|1 1 1/0/0 1 1 1 0/1 1/0 1 1 1 1 1 1 1/0 1/0|~~|11 15 0 9 57 0 2 1 5 1 6 6 26 16 0 0
Then to live with a man who craves the cold|~~|rb to vb in dt nn wp vbz dt jj|~~|1 1 1 1 1 1 1 1 0 1|~~|6 51 0 13 43 2 7 0 89 0
And to be the one that has to ask for every dole|~~|cc to vb dt cd in vbz to vb in dt nn|~~|1 1 1 0 1 1 1 1 1 1 1/0/0 1|~~|47 51 46 89 6 15 0 51 0 16 2 0
|~~||~~||~~|
Stone men stand as if they own the place|~~|nnp nns vb in in prp jj dt nn|~~|1 1 1 1 1 1 1 0 1|~~|0 0 0 7 12 4 4 89 0
The power that they lack it has been painted on|~~|dt nn in prp nn prp vbz vbn vbn in|~~|0 1/0 1 1 1 1 1 1 1/0 1|~~|89 0 15 4 0 11 0 8 0 29
Worshipping them is the only way|~~|vbg prp vbz dt rb nn|~~|1/0/0 1 1 0 1/0 1|~~|0 1 15 89 6 5
Creating worth from ash that greys the every pore|~~|vbg jj in nn in nns dt dt nn|~~|0/1/0 1 1 1 1 1 0 1/0/0 1|~~|0 0 13 0 15 0 89 2 0
Is colouring the man with what he thinks he knows|~~|vbz nn dt nn in wp prp vbz prp vbz|~~|1 1/1/1 0 1 1 1 1 1 1 1|~~|15 0 89 2 13 9 21 2 21 0
The colour is infectious like the na ne nee ne na nee oh|~~|dt nn vbz jj in dt to nn nn nn to nn uh|~~|0 1/1 1 0/1/0 1 0 1 1 1 1 1 1 1|~~|89 0 15 0 5 89 5 0 0 0 5 0 6
|~~||~~||~~|
I feel the weakness of his wishy-washy ways|~~|nnp vb dt nn in prp$ nn nns|~~|1 1 0 1/0 1 1 1/1/1/1 1|~~|57 1 89 0 26 16 0 1
In the rhythm of his hips as he pretends to love|~~|in dt nn in prp$ nns in prp vbz to nn|~~|0 0 1/0 1 1 1 1 1 0/1 1 1|~~|38 89 0 26 16 3 7 21 0 51 2
And the heavy set of steps that stomp away|~~|cc dt jj vbn in nns in nn rb|~~|1 0 1/0 1 1 1 1 1 0/1|~~|47 89 0 0 26 0 15 0 2
That is the colour of a manimalnimanimalnimanimalnimanimal|~~|in vbz dt nn in dt jj|~~|1 1 0 1/1 1 1 1/1/1/1/1/1/1/1/1/1/1/1|~~|15 15 89 0 26 43 0
//Do I Belong|~~|nn nnp vb|~~|1 1 0/1|~~|14 57 6
|~~||~~||~~|
Waking up with you beside me |~~|vbg in in prp in prp|~~|1/0 1 1 1 0/1 1|~~|0 3 13 19 0 14
How can I go wrong?|~~|wrb md nnp vb jj ?|~~|1 1 1 1 1 ?|~~|4 7 57 3 0 0
Wasting my time ain’t too much bother|~~|vbg prp$ nn nn rb jj vb|~~|1/0 1 1 1 1 1 1/0|~~|2 22 5 2 1 2 1
I’ll be like a dog|~~|nnp vb in dt nn|~~|1 1 1 1 1|~~|6 46 5 43 1
You’ve been wasting your time with your crystal ball|~~|nnp vbn vbg prp$ nn in prp$ jj nn|~~|1 1 1/0 1 1 1 1 1/0 1|~~|3 8 2 26 5 13 26 1 1
I’ll be with my guitar|~~|nnp vb in prp$ nn|~~|1 1 1 1 0/1|~~|6 46 13 22 1
Will be the end to all your trouble|~~|md vb dt nn to dt prp$ nn|~~|1 1 0 1 1 1 1 1/0|~~|10 46 89 1 51 15 26 1
I declare the law|~~|nnp vb dt nn|~~|1 0/1 0 1|~~|57 1 89 1
|~~||~~||~~|
But do I belong? |~~|cc vbp nnp vb ?|~~|1 1 1 0/1 ?|~~|5 14 57 6 0
Do I?|~~|vbp nnp ?|~~|1 1 ?|~~|14 57 0
|~~||~~||~~|
You could take it on up with our big father|~~|prp md vb prp in in in prp$ jj nn|~~|1 1 1 1 1 1 1 1/0 1 1/0|~~|19 1 4 11 29 3 13 8 8 1
I doubt if he’d give it a thought|~~|nnp nn in nn vb prp dt nn|~~|1 1 1 1 1 1 1 1|~~|57 1 12 2 1 11 43 3
He’ll be at home standing in a corner,|~~|nnp vb in nn vbg in dt nn ,|~~|1 1 1 1 1/0 0 1 1/0 ,|~~|2 46 8 3 1 38 43 1 0
Wondering where he belongs, well do I boy!|~~|vbg wrb prp vbz , rb vbp nnp nn !|~~|1/0/0 1 1 0/1 , 1 1 1 1 !|~~|3 1 21 1 0 4 14 57 4 0
|~~||~~||~~|
Do I belong?|~~|vbp nnp vb ?|~~|1 1 0/1 ?|~~|14 57 6 0
Do I belong?|~~|vbp nnp vb ?|~~|1 1 0/1 ?|~~|14 57 6 0
|~~||~~||~~|
Waiting all day by the telephone|~~|vbg dt nn in dt nn|~~|1/0 1 1 1 0 1/0/1|~~|1 15 4 6 89 1
Wondering if you’re going to call|~~|vbg in nn vbg to vb|~~|1/0/0 1 1 1/0 1 1|~~|3 12 1 2 51 3
I’ll go out to my friends’ party|~~|nnp vb in to prp$ nn nn|~~|1 1 1 1 1 1 1/0|~~|6 3 5 51 22 1 1
Wondering if I belong, well do I??|~~|vbg in nnp vb , rb vbp nnp ? ?|~~|1/0/0 1 1 0/1 , 1 1 1 ? ?|~~|3 12 57 6 0 4 14 57 0 0
|~~||~~||~~|
Do I Belong?|~~|vbp nnp vb ?|~~|1 1 0/1 ?|~~|14 57 6 0
Do I belong?|~~|vbp nnp vb ?|~~|1 1 0/1 ?|~~|14 57 6 0
Do I? |~~|vbp nnp ?|~~|1 1 ?|~~|14 57 0
Do I?|~~|vbp nnp ?|~~|1 1 ?|~~|14 57 0
Do I?|~~|vbp nnp ?|~~|1 1 ?|~~|14 57 0
 |~~||~~||~~|0
|~~||~~||~~|
//Walk On|~~|nn in|~~|1 1|~~|12 29
Hey there baby don’t you know|~~|uh ex nn nn prp vb|~~|1 1 1/0 1 1 1|~~|1 2 1 7 19 4
That if you cry, cry, cry, well it won’t do much|~~|in in prp nn , nn , nn , rb prp nn vbp jj|~~|1 1 1 1 , 1 , 1 , 1 1 1 1 1|~~|15 12 19 3 0 3 0 3 0 4 11 3 14 2
Who’s been there right from the start?|~~|nnps vbn ex nn in dt nn ?|~~|1 1 1 1 1 0 1 ?|~~|2 8 2 1 13 89 1 0
Who’s going to love you when you are old?|~~|nnps vbg to nn prp wrb prp vbp jj ?|~~|1 1/0 1 1 1 1 1 1 1 ?|~~|2 2 51 2 19 9 19 3 4 0
|~~||~~||~~|
Defeated in the night, walk on, walk on|~~|vbn in dt nn , vb in , vb in|~~|0/1/0 0 0 1 , 1 1 , 1 1|~~|1 38 89 6 0 12 29 0 12 29
I can see you in the night, walk on, walk on|~~|nnp md vb prp in dt nn , vb in , vb in|~~|1 1 1 1 0 0 1 , 1 1 , 1 1|~~|57 7 3 19 38 89 6 0 12 29 0 12 29
|~~||~~||~~|
Don’t you think that you ain’t been warned|~~|nnp prp vbp in prp nn vbn vbd|~~|1 1 1 1 1 1 1 1|~~|7 19 0 15 19 2 8 1
You’ll have to find your way home all alone|~~|nnp vbp to vb prp$ nn nn dt jj|~~||~~|1 5 51 0 26 5 3 15 0
Walk the streets where you’re not known|~~|vb dt nns wrb nn rb vbn|~~|1 0 1 1 1 1 1|~~|12 89 0 1 1 14 0
Crawl, crawl, crawl out of your hole|~~|vb , vb , vb in in prp$ nn|~~|1 , 1 , 1 1 1 1 1|~~|0 0 0 0 0 5 26 26 0
|~~||~~||~~|
	Conceived in the night, walk on, walk on|~~|vbn in dt nn , vb in , vb in|~~|0/1 0 0 1 , 1 1 , 1 1|~~|1 38 89 6 0 12 29 0 12 29
I can see you in the night, walk on, walk on|~~|nnp md vb prp in dt nn , vb in , vb in|~~|1 1 1 1 0 0 1 , 1 1 , 1 1|~~|57 7 3 19 38 89 6 0 12 29 0 12 29
|~~||~~||~~|
