Id	Speed	TravelTime	Status	DataAsOf	linkId	linkPoints	EncodedPolyLine	EncodedPolyLineLvls	Owner	Transcom_id	Borough	linkName
153	24.85	375	0	9/20/2014 19:22:59	4616235	40.69153,-73.99911 40.6922605,-73.99937 40.6928906,-73.99937 40.6933406,-73.99925 40.69406,-73.99898 40.695,-73.99853 40.697371,-73.99741 40.699431,-73.99642 40.69977,-73.9962 40.7001405,-73.99584 40.7004504,-73.995421 40.7007905,-73.994881 40.7010805,-73	}sowFx_jbMwDgHuHgOgG}LqBkDmB}CeCeFoD{Hg@qAcAgGuC_Qy@{D}AwD_CqD{BuC{BuCyBcCcEyDqEuCiIuEsBkBiBuBoAqBs@aBeB{FwAgI	BBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616235	Brooklyn	BQE N LEONARD STREET - 46TH STREET
154	6.84	574	0	9/20/2014 19:22:59	4616229	40.6757405,-74.00126 40.6765204,-74.0018 40.67817,-74.003221 40.67864,-74.003471 40.67925,-74.0036 40.6796,-74.00358 40.68003,-74.003441 40.6806205,-74.003161 40.68153,-74.00273 40.6853005,-74.891 40.68726,-73.999951 40.6892405,-73.99899 40.68972,-73.9988	kngwFzjtbM{CjBiIzG}Ap@yBXeACuA[uBw@uDuAqVoJgK{DkK_E_Ba@yBEuBj@eCt@	BBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616229	Brooklyn	BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
155	9.94	694	0	9/20/2014 19:22:59	4616232	40.71772,-73.94831 40.71862,-73.946851 40.72016,-73.94432 40.721481,-73.942051 40.7221204,-73.941121 40.7226804,-73.94034 40.72332,-73.93917 40.72411,-73.93774 40.72437,-73.937211 40.7247205,-73.93591 40.7254605,-73.933 40.72574,-73.932121 40.72612,-73.93	wtowF|_jbMsDcHsHyNgGeM_CyDoB{C_CiF}C}Gs@iBeAcGsCeQw@oDkAuCuCyEwBoCqBkCeCoCaEqD_EgCuIkFsBeBgBsByAaCu@eBiB}FqAiI	BBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616232	Brooklyn	BQE S 46TH STREET - LEONARD STREET
157	9.94	1527	0	9/20/2014 19:22:59	4616271	40.69158,-73.99929 40.69221,-73.999531 40.69286,-73.99952 40.69335,-73.999361 40.69411,-73.99907 40.6950804,-73.998591 40.6974105,-73.997481 40.69959,-73.99644 40.6998306,-73.996271 40.70022,-73.9959 40.70053,-73.995471 40.7008805,-73.9949 40.70116,-73.99	kqjwFp~sbM}Bn@aCAaB_@wCy@aE_BqM}EsLoEo@a@mAiA}@uAeAqBw@mB{@_Di@sDKkC?uCLeC^sF`A{LZ}B\{An@{A`A{AdCmCx@_AfGaHnCuC|@eAlAsC\oBN{CnBsuAQmDc@yBiAeCkBeBoDeAeMqCaGyBsEyByN_HcKyE}KqFgFaCkDq@uCoAaC_B{DmEeCyCaKyMyIkO	BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616271	Brooklyn	BQE S LEONARD STREET - ATLANTIC AVENUE
159	49.71	111	0	9/20/2014 19:22:59	4616252	40.8563506,-73.87233 40.85219,-73.871371 40.85007,-73.87111 40.8469404,-73.87115 40.8459605,-73.871311 40.8424005,-73.87202 40.83961,-73.87273 40.8362404,-73.87372 40.8349506,-73.8739 40.8333606,-73.873831 40.8319705,-73.873681 40.82985,-73.87313 40.82683	ewjxF`e{aM~X_EfLs@pRFbE^fUlClPlC`TdE`Gb@|HMtG]fLmBzQaB	BBBBBBBBBBBBB	NYC_DOT_LIC	4616252	Bronx	BRP N WATSON AVENUE - FORDHAM ROAD 
160	42.25	132	0	9/20/2014 19:22:59	4616266	40.8562805,-73.87254 40.8521804,-73.871581 40.8501706,-73.871451 40.8483304,-73.871491 40.8458506,-73.87152 40.84239,-73.872261 40.83964,-73.87291 40.8363,-73.8739 40.8349506,-73.87408 40.83339,-73.87407 40.8319705,-73.873921 40.8298404,-73.873331 40.8268	wvjxFjf{aMrX_EpKYnJFnNDrTrCdP`CzSdElGb@vHAzG]hLuB|Q{A	BBBBBBBBBBBBB	NYC_DOT_LIC	4616266	Bronx	BRP S FORDHAM ROAD - WATSON AVENUE
164	39.77	115	0	9/20/2014 19:22:03	4456497	40.79932,-73.82809 40.8006,-73.82895 40.8047004,-73.83146 40.8114405,-73.83571 40.8120204,-73.836031 40.8124904,-73.836211 40.8128505,-73.836261 40.8148205,-73.83629	wr_xFppraM_GjDsXtNci@pYsB~@}Ab@gAHiKD	BBBBBBBB	NYC_DOT_LIC	4456497	Queens	BWB N Queens Anchorage - Toll Plaza 
165	47.85	52	0	9/20/2014 19:23:00	4616305	40.81477,-73.83629 40.81611,-73.83627 40.8178404,-73.83601 40.8202405,-73.83589 40.823961,-73.83607 40.82513,-73.83624	isbxFxctaMkGCyIs@_NWgVb@iF`@	BBBBBB	NYC_DOT_LIC	4616305	Bronx	BWB N Toll Plaza - HRP N Lafayatte Ave
167	47.85	134	0	9/20/2014 19:23:00	4616312	40.7992604,-73.828251 40.79751,-73.827091 40.795711,-73.8258 40.7932906,-73.82419 40.7925904,-73.82378 40.791681,-73.823501 40.7907606,-73.823421 40.7886106,-73.82362 40.7870405,-73.82414 40.78439,-73.8247 40.78249,-73.825031 40.7817,-73.82527 40.78065,-7	kr_xFpqraM|IgFfJaGbNaIjCqAtDw@vDOlLf@xHfBpOnBzJ`A|Cn@pEfBz[|O|HzEtBdBnElFhElHbAxB	BBBBBBBBBBBBBBBBBBB	NYC_DOT_LIC	4616312	Queens	BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
168	36.04	128	0	9/20/2014 19:22:03	4456496	40.814761,-73.83668 40.81354,-73.83659 40.8130504,-73.8365 40.8124505,-73.83638 40.8118404,-73.836121 40.8111,-73.83562 40.8049306,-73.831821 40.79925,-73.828251	gsbxFfftaMrFQ`BQvBWxBs@rCcBpe@wVnb@iU	BBBBBBBB	NYC_DOT_LIC	4456496	Bronx	BWB S Toll Plaza - Queens Anchorage
