CensusTract,State,County,LAT,LON,Urban,Rural,housing units,total pop,pop 1 mile low access
36005036901,NY,Bronx,40.8444127,-73.8918108,1,0,763,2005,0
36005036902,NY,Bronx,40.8426434,-73.892949,1,0,716,2119,0
36005037000,NY,Bronx,40.8730921,-73.8590214,1,0,794,2303,0
36005037100,NY,Bronx,40.8472204,-73.8873781,1,0,1695,4241,0
36005037200,NY,Bronx,40.8738025,-73.8632803,1,0,819,2222,0
36005037300,NY,Bronx,40.8486733,-73.8901415,1,0,1739,5318,0
36005037400,NY,Bronx,40.8745379,-73.8666711,1,0,1384,3441,0
36005037504,NY,Bronx,40.8502936,-73.892678,1,0,1254,3677,0
36005037600,NY,Bronx,40.874569,-73.8692131,1,0,811,2148,0
36005037800,NY,Bronx,40.8797991,-73.8666211,1,0,1039,3048,0
36005037900,NY,Bronx,40.8515594,-73.8987883,1,0,1490,5093,0
36005038000,NY,Bronx,40.8780935,-73.8624415,1,0,1740,4585,0
36005038100,NY,Bronx,40.8520583,-73.9011465,1,0,2086,6382,0
36005038200,NY,Bronx,40.877309,-73.8547432,1,0,872,2596,0
36005038301,NY,Bronx,40.8572137,-73.8985196,1,0,1514,4797,0
36005038302,NY,Bronx,40.85745,-73.8950077,1,0,1933,6106,0
36005038500,NY,Bronx,40.8562296,-73.89249,1,0,1492,4758,0
36005038600,NY,Bronx,40.8796352,-73.8484023,1,0,2642,7409,0
36005038700,NY,Bronx,40.8580023,-73.8892229,1,0,1164,3216,0
36005038800,NY,Bronx,40.8795982,-73.8553665,1,0,860,2606,0
36005038900,NY,Bronx,40.8564319,-73.8849744,1,0,1802,5325,0
36005039000,NY,Bronx,40.8812352,-73.86076,1,0,968,2975,0
36005039100,NY,Bronx,40.8531215,-73.8871318,1,0,2395,6992,0
36005039200,NY,Bronx,40.8832885,-73.8647381,1,0,590,1781,0
36005039300,NY,Bronx,40.8525181,-73.8831358,1,0,3057,8143,0
36005039400,NY,Bronx,40.8864792,-73.8633993,1,0,1589,4573,0
36005039500,NY,Bronx,40.8481912,-73.8967151,1,0,1435,4146,0
36005039600,NY,Bronx,40.8844238,-73.8589556,1,0,1339,3756,0
36005039700,NY,Bronx,40.8619267,-73.8854132,1,0,549,3702,0
36005039800,NY,Bronx,40.882697,-73.8534698,1,0,1040,3090,0
36005039901,NY,Bronx,40.8635349,-73.8936413,1,0,1638,5228,0
36005039902,NY,Bronx,40.8604227,-73.8947478,1,0,1625,5279,0
36005040100,NY,Bronx,40.8646119,-73.8976515,1,0,1450,4593,0
36005040302,NY,Bronx,40.8678675,-73.892176,1,0,1380,4386,0
36005040303,NY,Bronx,40.869682,-73.8934561,1,0,1498,4478,0
36005040304,NY,Bronx,40.86767,-73.8951873,1,0,1219,3794,0
36005040400,NY,Bronx,40.8861691,-73.8513487,1,0,1038,3016,0
36005040501,NY,Bronx,40.8671472,-73.8908965,1,0,1349,4397,0
36005040502,NY,Bronx,40.865878,-73.8889613,1,0,2205,6863,0
36005040600,NY,Bronx,40.8879511,-73.8570053,1,0,1189,3490,0
36005040701,NY,Bronx,40.8715794,-73.8902604,1,0,1170,3347,0
36005040702,NY,Bronx,40.8691424,-73.8869998,1,0,2375,6652,0
36005040800,NY,Bronx,40.8897426,-73.861742,1,0,1499,4263,0
36005040900,NY,Bronx,40.87704,-73.8943325,1,0,1431,3637,0
36005041100,NY,Bronx,40.875562,-73.8871522,1,0,1155,2931,0
36005041300,NY,Bronx,40.8741039,-73.8851968,1,0,2793,7384,0
36005041400,NY,Bronx,40.9035525,-73.854095,1,0,1734,5027,0
36005041500,NY,Bronx,40.8701057,-73.8835532,1,0,2172,5461,0
36005041800,NY,Bronx,40.8971161,-73.8584601,1,0,1236,3598,0
36005041900,NY,Bronx,40.8768595,-73.8816851,1,0,2460,6734,0
36005042000,NY,Bronx,40.8930261,-73.8598558,1,0,1388,3850,0
36005042100,NY,Bronx,40.8814794,-73.8827627,1,0,2239,5922,0
36005042200,NY,Bronx,40.8910968,-73.8552807,1,0,1140,3086,0
36005042300,NY,Bronx,40.877008,-73.8773556,1,0,1428,4100,0
36005042400,NY,Bronx,40.8892857,-73.8495425,1,0,809,2481,0
36005042500,NY,Bronx,40.8710168,-73.8790971,1,0,2149,6793,0
36005042600,NY,Bronx,40.8908411,-73.8419292,1,0,2129,6387,0
36005042800,NY,Bronx,40.8945094,-73.845703,1,0,725,2173,0
36005042901,NY,Bronx,40.8749499,-73.8742925,1,0,1186,3420,0
36005042902,NY,Bronx,40.8771332,-73.8739243,1,0,1380,3845,0
36005043000,NY,Bronx,40.8934599,-73.8506574,1,0,997,2898,0
36005043100,NY,Bronx,40.8849455,-73.8784935,1,0,3446,9680,0
36005043400,NY,Bronx,40.898211,-73.8523371,1,0,1300,3592,0
36005043500,NY,Bronx,40.8952111,-73.8811111,1,0,12,39,0
36005043600,NY,Bronx,40.8972795,-73.849759,1,0,678,2032,0
36005044200,NY,Bronx,40.9038676,-73.8462552,1,0,1257,3555,0
36005044400,NY,Bronx,40.8995005,-73.8437344,1,0,1311,3878,0
36005044800,NY,Bronx,40.8954712,-73.8413102,1,0,662,2026,0
36005044901,NY,Bronx,40.8974999,-73.8733943,1,0,872,1818,0
36005044902,NY,Bronx,40.8988257,-73.8689887,1,0,920,1949,0
36005045101,NY,Bronx,40.89744,-73.8643289,1,0,851,1656,0
36005045102,NY,Bronx,40.9003655,-73.864136,1,0,931,1894,0
36005045600,NY,Bronx,40.8873476,-73.8203804,1,0,1049,2896,31.88582039
36005045800,NY,Bronx,40.8858611,-73.8452028,1,0,2013,6123,0
36005046000,NY,Bronx,40.8824438,-73.8426481,1,0,979,2741,0
36005046201,NY,Bronx,40.8763935,-73.8260042,1,0,12426,26588,0
36005046202,NY,Bronx,40.8795116,-73.8341096,1,0,2547,8277,0
36005048400,NY,Bronx,40.8863099,-73.8345657,1,0,1197,3598,0
36005050400,NY,Bronx,40.8696967,-73.7956769,0,1,19,39,38.55079983
36005051600,NY,Bronx,40.8387492,-73.782422,1,0,2025,4362,4361.999981
36047000100,NY,Kings,43.8773656,-76.3939728,1,0,2227,4338,0
36047000200,NY,Kings,40.700283,-73.9940308,1,0,360,1470,0
36047000301,NY,Kings,40.6532132,-74.0109709,1,0,2020,4259,0
36047000501,NY,Kings,40.6964163,-73.9974952,1,0,1879,4247,0
36047000502,NY,Kings,40.6958143,-73.9947007,1,0,1509,2512,0
36047000700,NY,Kings,40.6951345,-73.9928612,1,0,1726,3359,0
36047000900,NY,Kings,40.6923198,-73.997299,1,0,1965,4172,0
36047001100,NY,Kings,40.6917355,-73.9916274,1,0,39,84,0
36047001300,NY,Kings,40.6932904,-73.9877086,1,0,977,2275,0
36047001500,NY,Kings,40.6976319,-73.9883899,1,0,1453,3521,0
36047001800,NY,Kings,40.6942748,-73.9830225,1,0,4,2105,0
36047002000,NY,Kings,40.6544179,-74.0189565,1,0,437,1672,0
36047002100,NY,Kings,40.6480502,-74.0159179,1,0,1573,3604,0
36047002200,NY,Kings,40.7027774,-73.9871401,1,0,1579,4613,0
36047002300,NY,Kings,40.6434736,-74.0217116,1,0,1498,4247,0
36047002901,NY,Kings,40.6995619,-73.9832758,1,0,1083,3218,0
36047003000,NY,Kings,40.6949037,-73.9780855,1,0,707,1730,0
36047003100,NY,Kings,40.638902,-74.0289543,1,0,850,2472,0
36047003300,NY,Kings,40.6916118,-73.9777174,1,0,1135,2327,0
36047003400,NY,Kings,40.6885118,-73.978109,1,0,1355,3047,0
36047003500,NY,Kings,40.6371117,-74.0376784,1,0,806,1554,0
36047003600,NY,Kings,40.6853252,-73.9761803,1,0,1826,3804,0
36047003700,NY,Kings,40.6346861,-74.0308979,1,0,157,390,0
36047003800,NY,Kings,40.689405,-73.9847342,1,0,682,1498,0
36047003900,NY,Kings,40.6348106,-74.0388187,1,0,956,2229,0
36047004100,NY,Kings,40.6849013,-73.980824,1,0,1528,3598,0
36047004300,NY,Kings,40.6865997,-73.9850537,1,0,1513,3008,0
36047004400,NY,Kings,40.6882118,-73.9896017,1,0,964,2359,0
36047004500,NY,Kings,40.6296061,-74.0413036,1,0,1669,3325,0
36047004600,NY,Kings,40.688146,-73.995287,1,0,447,1199,0
