headline 	 snippet 	 date
"James H. Steele, Pioneer in Veterinary Public Health, Dies at 100"	Dr. Steele helped establish mass vaccination and prevention programs in the United States and abroad for diseases that pass from animals to people.	2013-11-22T00:00:00Z
"Mad Dog Vachon, Pro Wrestler, Dies at 84"	"Over a 40-year career, Mr. Vachon developed a degree of showmanship that influenced todayâ€™s over-the-top antics."	2013-11-26T00:00:00Z
"Jean Banchet, Chef Who Translated French Cuisine, Dies at 72"	Mr. Banchetâ€™s traditional French cooking helped turn the Chicago suburbs into a global destination for food-lovers in the 1970s and â€™80s.	2013-11-26T00:00:00Z
"Chico Hamilton, Drummer, Bandleader and Exponent of Cool Jazz, Dies at 92"	"Mr. Hamilton, from the Los Angeles area, had a subtle and melodic approach that made him ideally suited for the refined, understated style that came to be known as cool jazz."	2013-11-27T00:00:00Z
Seeing Beauty With Saul Leiter	"Tony Cenicola had no idea who Saul Leiter was when he first met the fabled photographer. But he spent a decade helping â€” and learning from â€” Mr. Leiter, who died on Tuesday night."	2013-11-27T15:30:36Z
"Tony Musante, Actor Known for Role in â€˜Toma,â€™ Dies at 77"	"Mr. Musante acted on stage and in many films in the United States and Europe, working with Gene Hackman, Meryl Streep and George C. Scott."	2013-11-28T00:00:00Z
Bill Foulkes Dies at 81; Soccer Star Survived Teamâ€™s Plane Crash	"Sustaining only minor injuries in the crash in Munich in February 1958 that killed eight starting players, the rugged defender went on to help Manchester United rebuild."	2013-12-01T00:00:00Z
"Paul Aussaresses, 95, Who Tortured Algerians, Dies"	General Aussaresses stunned France in 2000 when he asserted that he had tortured and executed dozens of prisoners during his countryâ€™s war in Algeria four decades earlier.	2013-12-05T00:00:00Z
"Vincent A. Marchiselli, Ex-New York Legislator From Bronx, Dies at 85"	"Mr. Marchiselli, elected in 1974 as a reformer, was a defiant voice against his boroughâ€™s scandal-scarred Democratic organization."	2013-12-05T00:00:00Z
"Michael French, Who Battled a Rare Dementia, Dies at 73"	"Michael French, who struggled with the brain disease frontotemporal dementia, diagnosed in 2007, died at a Manhattan nursing home."	2013-12-10T00:00:00Z
Stan Tracey Dies at 86; Helped British Jazz Emerge From American Shadow	Mr. Traceyâ€™s inspirations for some of his compositions were distinctly British in origin.	2013-12-13T00:00:00Z
Stan Tracey Dies at 86; Helped British Jazz Emerge From American Shadow	Mr. Traceyâ€™s inspirations for some of his compositions were distinctly British in origin.	2013-12-13T00:00:00Z
"George L. Shinn, a Wall Street Chief Who Turned to Teaching, Dies at 90"	"Mr. Shinn, a former president of Merrill Lynch, also led the First Boston Corporation as chairman and chief executive, but left unexpectedly to pursue teaching."	2013-12-19T00:00:00Z
"John W. Cornforth, 96, Nobel-Winning Chemist, Dies"	"Dr. Cornforth, who was born in Australia, shared the Nobel Prize in Chemistry in 1975 and could trace that achievement to his discovery as a child that he was becoming deaf."	2013-12-20T00:00:00Z
"Kenneth A. Schechter, 83, Dies; With Help, He Flew Blind"	"Mr. Schechter, then Ensign Schechter, a Navy pilot during the Korean War, was at the heart of one of the most electrifying air rescues in American military history."	2013-12-22T00:00:00Z
"Lawrence O. Kitchen, Steady Hand for Lockheed, Dies at 90"	Mr. Kitchen rose through the ranks of the aerospace company during a 30-year career and led the company through rocky tussles with governments during the 1980s.	2013-12-24T00:00:00Z
"Yusef Lateef, Innovative Jazz Saxophonist and Flutist, Dies at 93"	"Mr. Lateef crossed musical boundaries, playing world music before world music had a name."	2013-12-25T00:00:00Z
"Robert W. Wilson, Frugal Philanthropist, Dies at 87"	"Mr. Wilson, the founding partner of the firm Wilson & Associates, donated about $600 million to causes including environmental conservation and Roman Catholic education."	2013-12-28T00:00:00Z
"Mike Hegan, 71, Player Who Made Long Journey Home "	"Mr. Hegan, who played for several teams in the major leagues, including the Yankees, returned to his Cleveland and became a broadcaster."	2013-12-29T00:00:00Z
