headline , snippet , date,name,age,day of death,month of death,year of death
John J. Byrne Dies at 80- Turned Around Geico,"Mr. Byrne became an insurance legend by rescuing Geico in the 1970s, and later took Fireman’s Fund public in what was then the biggest I.P.O. in history.",2013-03-13T00:00:00Z,John J. Byrne,80,13,3,2013
"J. Richard Hackman, an Expert in Team Dynamics, Dies at 72","Dr. Hackman, a professor of psychology, wrote or helped write 10 books on the dynamics of teamwork and effective leadership.",2013-01-21T00:00:00Z,J. Richard Hackman,72,21,1,2013
"James Vaught, Who Led Iran Hostage Mission, Dies at 86","General Vaught, a combat veteran of the Korean and Vietnam Wars, was the commander of the Carter administration’s failed 1980 mission to free 50 hostages held in Iran.",2013-09-30T00:00:00Z,James Vaught,86,30,9,2013
"Andy Johns, 62, Rolling Stones and Led Zeppelin Engineer, Dies","Mr. Johns helped piece together one of the Stones’ most acclaimed albums, “Exile on Main St.” and was a producer of Television’s “Marquee Moon.”",2013-04-20T00:00:00Z,Andy Johns,62,20,4,2013
"David Frost, Interviewer Who Got Nixon to Apologize for Watergate, Dies at 74","A longtime broadcaster, Mr. Frost was best known for incisive interviews with public figures, including talks with former President Richard M. Nixon, which he called the highlight of his career.",2013-09-02T00:00:00Z,David Frost,74,2,9,2013
"Ralph Sanchez, Founder of Major Speedway, Dies at 64","A Cuban-born businessman, Mr. Sanchez built a major automobile racetrack in Homestead, Fla., after the city was ravaged by Hurricane Andrew.",2013-04-06T00:00:00Z,Ralph Sanchez,64,6,4,2013
"Richard McWilliam, Trading Card Innovator, Dies at 59",Mr. McWilliam’s leadership made Upper Deck an industry powerhouse at a time when baseball and other sports cards were increasingly coveted by adult collectors.,2013-01-11T00:00:00Z,Richard McWilliam,59,11,1,2013
"Peter Workman, 74- Published Hit Books","Peter Workman, the founder of  Workman Publishing , whose knack for landing best-selling trade books like  &#x201C-What to Expect When You&#x2019-re Expecting,&#x201D-  and &#x201C-The Silver Palate Cookbook&#x201D- built his company into one of the ",2013-04-12T00:00:00Z,Peter Workman,74,12,4,2013
"Giulio Andreotti, Premier of Italy 7 Times, Dies at 94","Mr. Andreotti, who epitomized postwar Italy’s contradictions, helped usher the country into wealth but also played a part in the spread of cronyism.",2013-05-07T00:00:00Z,Giulio Andreotti,,,,
"Colin Eglin, 88, Key White Opponent of Apartheid, Dies","Mr. Eglin, a South African politician, was at the forefront of his country’s white, liberal opposition to apartheid and helped draft the Constitution that ended it in 1993.",2013-12-11T00:00:00Z,Colin Eglin,88,11,12,2013
"Marc Simont, Classic Children’s Book Illustrator, Dies at 97","Mr. Simont, a recipient of the Caldecott Medal, was admired for his delicately spare, but expressive, style.",2013-07-17T00:00:00Z,Marc Simont,97,17,7,2013
"Chuck Fairbanks, a Fitful Football Coach, Dies at 79",Mr. Fairbanks built successful football teams in college at the University of Oklahoma and in the N.F.L. with New England. But controversy often followed him.,2013-04-03T00:00:00Z,Chuck Fairbanks,79,3,4,2013
"Les Blank, Filmmaker of America’s Periphery, Dies at 77","Mr. Blank’s films are considered timeless, well-crafted essays on subjects like garlic and its devotees, Mardi Gras, gaptoothed women and polka enthusiasts.",2013-04-08T00:00:00Z,Les Blank,77,8,4,2013
"Marc Simont, Classic Children’s Book Illustrator, Dies at 97","Mr. Simont, a recipient of the Caldecott Medal, was admired for his delicately spare, but expressive, style.",2013-07-17T00:00:00Z,Marc Simont,97,17,7,2013
"Chuck Fairbanks, a Fitful Football Coach, Dies at 79",Mr. Fairbanks built successful football teams in college at the University of Oklahoma and in the N.F.L. with New England. But controversy often followed him.,2013-04-03T00:00:00Z,Chuck Fairbanks,79,3,4,2013
"Hilary Koprowski, Who Developed First Live-Virus Polio Vaccine, Dies at 96","A pioneering researcher who also helped develop a vaccine for rabies, Dr. Koprowski never won much recognition for his polio breakthrough, since it was not widely used in the United States.",2013-04-21T00:00:00Z,Hilary Koprowski,96,21,4,2013
"Daniel J. Edelman, a Publicity Pioneer, Dies at 92",Mr. Edelman was the founder and chairman of one of the largest public relations firms in the world and a groundbreaker in the field.,2013-01-16T00:00:00Z,Daniel J. Edelman,92,16,1,2013
"Matthew Warren, Son of Influential Minister, Dies at 27","The Rev. Rick Warren said in a statement that his youngest son, Matthew, who committed suicide, had struggled with mental illness and depression all his life.",2013-04-07T00:00:00Z,Matthew Warren,27,7,4,2013
"Janusz Lewandowski, 82, Polish Peace Envoy in Vietnam, Dies","In Operation Marigold, Mr. Lewandowski, then a diplomat from Poland, was given the task of trying to initiate talks between Washington and Hanoi in 1966.",2013-09-03T00:00:00Z,Janusz Lewandowski,82,3,9,2013
"Kenneth Wilson, Nobel Physicist, Dies at 77","Dr. Wilson was known for showing how to calculate tricky moments in physics, like when ice melts or an iron bar loses magnetism.",2013-06-21T00:00:00Z,Kenneth Wilson,77,21,6,2013
Jack Fishman Dies at 83- Saved Many From Overdose,Dr. Fishman worked on a drug that counters the addictive and potentially fatal use of narcotics.,2013-12-15T00:00:00Z,Jack Fishman,83,15,12,2013
"Tony Sheridan, Colleague of Beatles, Is Dead at 72","Mr. Sheridan was a guitarist and singer in Hamburg in 1960 when he met the Beatles, who were his backup group on recordings.",2013-02-18T00:00:00Z,Tony Sheridan,72,18,2,2013
"William H. Sullivan, U.S. Ambassador to Volatile Laos and Iran, Is Dead at 90",Mr. Sullivan oversaw a secret bombing campaign in Laos and was the last United States ambassador to Iran before the 1979 hostage crisis.,2013-10-29T00:00:00Z,William H. Sullivan,90,29,10,2013
"Tony Sheridan, Colleague of Beatles, Is Dead at 72","Mr. Sheridan was a guitarist and singer in Hamburg in 1960 when he met the Beatles, who were his backup group on recordings.",2013-02-18T00:00:00Z,Tony Sheridan,72,18,2,2013
"Michael Ward, Survivor of ’85 Bombing by Philadelphia Police, Is Dead at 41",Mr. Ward was one of two survivors of a bombing in which police officers touched off a fire that killed 11 people and destroyed three city blocks.,2013-09-28T00:00:00Z,Michael Ward,41,,,
"Louis D. Rubin Jr., Publisher, Scholar and Champion of Southern Writers, Dies at 89","Mr. Rubin, a man of letters who helped found Algonquin Books, was devoted to the practice and promotion of American Southern writing.",2013-11-24T00:00:00Z,Louis D. Rubin Jr.,89,24,11,2013
"Edgar M. Bronfman, Who Built a Bigger, More Elegant Seagram, Dies at 84","Mr. Bronfman helped the liquor company acquire other businesses and make a stake in Hollywood, and he championed the rights of Jews as president of the World Jewish Congress.",2013-12-23T00:00:00Z,Edgar M. Bronfman,84,23,12,2013
"Bruce C. Murray, Who Helped Earth Learn of Mars, Dies at 81","As director of the Jet Propulsion Laboratory from 1976 to 1982, Dr. Murray faced shrinking budgets as the space agency focused on the emerging shuttle program.",2013-08-30T00:00:00Z,Bruce C. Murray,81,30,8,2013
"Richard Matheson, Writer of Haunted Science Fiction and Horror, Dies at 87","Mr. Matheson’s novels, short stories, screenplays and teleplays drew the blueprints for dozens of science fiction and horror movies and television shows.",2013-06-26T00:00:00Z,Richard Matheson,87,26,6,2013
"Henry Morgentaler, 90, Dies- Abortion Defender in Canada","Dr. Morgentaler, who was heralded and vilified for his work and his views, won the landmark Canadian Supreme Court decision that legalized abortion nationally in 1988.",2013-05-30T00:00:00Z,Henry Morgentaler,90,30,5,2013
"Bill Porter, an Exceptional Salesman Who Inspired a Film, Dies at 81","Mr. Porter, who had cerebral palsy, was the inspiration for &#8220-Door to Door,&#8221- a 2002 TV film starring William H. Macy.",2013-12-10T00:00:00Z,Bill Porter,81,10,12,2013
"John J. Gumperz, Linguist of Cultural Interchange, Dies at 91","Professor Gumperz created a subfield, known as interactional sociolinguistics, that studies exchanges in a range of social situations, especially discourse across cultures.",2013-04-03T00:00:00Z,John J. Gumperz,91,3,4,2013
Tingye Li Dies at 81- Played Crucial Role in Laser’s Development,Dr. Li’s calculations in the early 1960s helped guide the development of the laser and propel the dizzying increase in the speed of fiber-optic communication.,2013-01-07T00:00:00Z,Tingye Li,81,7,1,2013
"Tony Metcalf, Editor of Free City Newspapers, Dies at 50","Mr. Metcalf led Metro US, a newspaper that offers a quick read to young bus and subway riders in New York, Philadelphia and Boston.",2013-07-19T00:00:00Z,Tony Metcalf,50,19,7,2013
"Fred Kavli, Benefactor of Science Prizes, Dies at 86","Mr. Kavli, a California physicist raised in Norway, established $1 million awards and 17 institutes that finance university research.",2013-11-25T00:00:00Z,Fred Kavli,86,25,11,2013
James van Sweden Dies at 78- His Designs Urged Lawns to Grow,"Mr. van Sweden helped lead a revolt against the well-manicured lawn, creating naturalistic, colorful gardens inspired by master painters.",2013-09-27T00:00:00Z,James van Sweden Dies at 78- His Designs Urged Lawns to Grow,78,27,9,2013
"John Williamson, Co-Founder of the Sandstone Retreat, Dies at 80","Sandstone, which Mr. Williamson and his wife always insisted was about more than sex, at one point had a handful of couples who were full-time residents and about 500 paying members.",2013-05-05T00:00:00Z,John Williamson,80,5,5,2013
"John J. Gumperz, 91, Scholar of Interaction","The conflict hinged on a single word: &#x201C-gravy.&#x201D-&#xa-   &#xa-The place was Heathrow Airport, the time the mid-1970s. The airport had recently hired a group of Indian and Pakistani women to work in its employee cafeteria, and trouble had a",2013-04-05T00:00:00Z,John J. Gumperz,91,5,4,2013
Bigas Luna Dies at 67- Spanish Film’s Shepherd,Mr. Luna’s films featured outlandish situations and were influenced by surrealist artists- he helped discover stars including Penélope Cruz and Javier Bardem.,2013-04-10T00:00:00Z,Bigas Luna,67,10,4,2013
"Marty Blake, Sharp Judge of N.B.A. Talent, Dies at 86","In a basketball career that lasted nearly 60 years, Blake had a knack for finding talented players that nearly anyone else would have overlooked.",2013-04-10T00:00:00Z,Marty Blake,86,10,4,2013
"Dwike Mitchell, Zealous Jazz Pianist, Dies at 83","Mr. Mitchell and his playing partner, Willie Ruff, played thousands of concerts at schools and colleges and in foreign countries where jazz was taboo.",2013-04-19T00:00:00Z,Dwike Mitchell,83,19,4,2013
"James Herbert, British Horror Novelist, Dies at 69","Mr. Herbert wrote supernatural thrillers and horror stories, like “The Rats,” that made fans like Stephen King squirm.",2013-03-25T00:00:00Z,James Herbert,69,25,3,2013
"Walter Pierce, Modernist Architect, Dies at 93","Mr. Pierce, who was born in Brooklyn, lived his last 55 years in a house he built in Peacock Farm, Mass., a 45-acre subdivision of stylish, affordable homes that he designed.",2013-03-17T00:00:00Z,Walter Pierce,93,17,3,2013
"Paul Olefsky, a Cellist and Educator, Dies at 87","Mr. Olefsky was a principal cellist of the Philadelphia Orchestra and a noted soloist, as well as a teacher at the Butler School of Music.",2013-06-07T00:00:00Z,Paul Olefsky,87,7,6,2013
"Elisabeth Maxwell, Expert on Holocaust, Dies at 92","After Dr. Maxwell’s life was turned upside down by the death of her husband, Robert Maxwell, in 1991, she focused on being a Holocaust scholar, writer and lecturer.",2013-08-09T00:00:00Z,Elisabeth Maxwell,92,9,8,2013
"Robert Bellah, Sociologist of Religion Who Mapped the American Soul, Dies at 86",Mr. Bellah was widely credited with helping usher the study of religion — a historically marginalized subject in the social sciences — into the sociological fold.,2013-08-07T00:00:00Z,Robert Bellah,86,7,8,2013
"Pedro Ramírez Vázquez, Architect, Is Dead at 94","Mr. Ramírez designed a series of monuments to Mexican culture, including museums, a sports stadium and the Basilica of Guadalupe shrine.",2013-04-18T00:00:00Z,Pedro Ramírez Vázquez,94,18,4,2013
"Jerry Buss, Lakers Owner and Innovator, Dies at 80",Mr. Buss bought the Los Angeles Lakers in 1979 and won 10 N.B.A. titles while melding basketball and show business.,2013-02-19T00:00:00Z,Jerry Buss,80,19,2,2013
"Fred Scherer, 98, Dies- Diorama Painter Mastered Even Illusion of Air",Mr. Scherer helped create scenes for people in New York who otherwise might never see a flock of cormorants nesting on a cliff.,2013-12-09T00:00:00Z,Fred Scherer,98,9,12,2013
"Richard Witkin, 95, Witness to the History of Aviation, Dies",Mr. Witkin worked for The Times for three decades and was part of the team that won a Pulitzer for coverage of the Challenger disaster.,2013-11-10T00:00:00Z,Richard Witkin,95,10,11,2013
"William Moody, 58, Pro Wrestling’s Paul Bearer, Dies",Mr. Moody gained fame as the urn-carrying manager Paul Bearer for the pro wrestlers the Undertaker and Kane in World Wrestling Entertainment.,2013-03-12T00:00:00Z,William Moody,58,12,3,2013
"Sean Sasser, Who Was Half of One of TV’s First Gay Couples, Dies at 44","Mr. Sasser, a chef whose romance with Pedro Zamora on MTV’s “The Real World” was among the first real-life gay relationships on television, helped publicize issues about AIDS.",2013-08-11T00:00:00Z,Sean Sasser,44,11,8,2013
"Richard C. Sarafian, Director of ‘Vanishing Point,’ Dies at 83","Mr. Sarafian was a filmmaker whose 1971 car-chase thriller, “Vanishing Point,” earned him a loyal cult following.",2013-09-23T00:00:00Z,Richard C. Sarafian,83,23,9,2013
"Philip Chevron, Guitarist With the Pogues, Dies at 56","Mr. Chevron and his band found success by fusing traditional Irish music, rock and punk into a boisterous and exhilarating hybrid.",2013-10-09T00:00:00Z,Philip Chevron,56,9,10,2013
"Alvin Lee, British Blues-Rock Guitarist, Dies at 68",Mr. Lee and Ten Years After played at the Woodstock festival in 1969 and were in the movie “Woodstock” and on its soundtrack with “I’m Going Home.”,2013-03-07T00:00:00Z,Alvin Lee,68,7,3,2013
"Michael Winner, ‘Death Wish’ Director, Dies at 77","Mr. Winner, a British director who specialized in violent action movies, partnered with Charles Bronson for several films.",2013-01-22T00:00:00Z,Michael Winner,77,22,1,2013
"Michael Winner, ‘Death Wish’ Director, Dies at 77","Mr. Winner, a British director who specialized in violent action movies, partnered with Charles Bronson for several films.",2013-01-22T00:00:00Z,Michael Winner,77,22,1,2013
"Daniel Hoffman, Poet Laureate Versatile in Many Forms, Dies at 89","Mr. Hoffman was the nation’s poet laureate from 1973 to 1974, and his books include a collection of sonnets and an epic poem about the founding of Pennsylvania.",2013-04-05T00:00:00Z,Daniel Hoffman,89,5,4,2013
"Tom Laughlin, 82, Star of ‘Billy Jack’ Movie Series, Dies","Mr. Laughlin wrote, directed and starred in all four of the films, based on an amalgam of cowboy archetypes, Asian martial-arts film archetypes and his image of himself.",2013-12-17T00:00:00Z,Tom Laughlin,82,17,12,2013
"Lawrence Goodwyn, Historian of Populism, Dies at 85",Dr. Goodwyn’s experience building cross-racial political coalitions in the 1960s led him to write an authoritative history of the rise of American populism in the 19th century.,2013-10-05T00:00:00Z,Lawrence Goodwyn,85,5,10,2013
"Steuart Pittman, Head of Fallout Shelter Program, Dies at 93",Mr. Pittman was appointed by President John F. Kennedy to create enough shelters to protect every American in the event of a nuclear attack.,2013-02-19T00:00:00Z,Steuart Pittman,93,19,2,2013
"Leonard Marsh, a Founder of Snapple, Dies at 80","Mr. Marsh was a longtime chief executive of the beverage company, now part of the Dr Pepper Snapple Group.",2013-05-23T00:00:00Z,Leonard Marsh,80,23,5,2013
Ruth Ann Steinhagen Is Dead at 83- Shot a Ballplayer,Ms. Steinhagen’s 1949 shooting of the Phillies’ Eddie Waitkus made its way into the novel “The Natural” and its film adaptation.,2013-03-24T00:00:00Z,Ruth Ann Steinhagen Is Dead at 83- Shot a Ballplayer,83,24,3,2013
"Leonard Marsh, a Founder of Snapple, Dies at 80","Mr. Marsh was a longtime chief executive of the beverage company, now part of the Dr Pepper Snapple Group.",2013-05-23T00:00:00Z,Leonard Marsh,80,23,5,2013
Ruth Ann Steinhagen Is Dead at 83- Shot a Ballplayer,Ms. Steinhagen’s 1949 shooting of the Phillies’ Eddie Waitkus made its way into the novel “The Natural” and its film adaptation.,2013-03-24T00:00:00Z,Ruth Ann Steinhagen Is Dead at 83- Shot a Ballplayer,83,24,3,2013
"Georges Moustaki, Poetic French Singer, Dies at 79","Mr. Moustaki, who wrote “Milord” for Édith Piaf, was known for his poetic sensibility and melancholy ballads.",2013-05-25T00:00:00Z,Georges Moustaki,79,25,5,2013
"Otto Beisheim, German Retailing Pioneer, Dies at 89","Mr. Beisheim, who introduced the concept of selling wholesale goods directly to German consumers and built the country’s largest retailer, Metro, was known as intensely private.",2013-02-22T00:00:00Z,Otto Beisheim,89,22,2,2013
"Tom Knapp, Crowd-Pleasing Sure Shot, Dies at 62",Mr. Knapp broke world records by picking off flocks of airborne clay targets with the flair of a western movie hero.,2013-05-04T00:00:00Z,Tom Knapp,62,4,5,2013
"Dwike Mitchell, Zealous Jazz Pianist, Is Dead at 83","Mr. Mitchell and his playing partner, Willie Ruff, helped to popularize jazz in places like China and Russia.",2013-04-27T00:00:00Z,Dwike Mitchell,83,27,4,2013
"Pietro Mennea, Sprint Champion, Dies at 60","Mr. Mennea, who won a gold medal in the 200 meters at the 1980 Moscow Olympics, held the world record in the event from 1979 to 1996.",2013-03-22T00:00:00Z,Pietro Mennea,60,22,3,2013
"Otto Beisheim, German Retailing Pioneer, Dies at 89","Mr. Beisheim, who introduced the concept of selling wholesale goods directly to German consumers and built the country’s largest retailer, Metro, was known as intensely private.",2013-02-22T00:00:00Z,Otto Beisheim,89,22,2,2013
"Henry Prunier, 91, Dies- &#xd- Was Part of U.S. Mission&#xd- To Train the Viet Minh","Henry A. Prunier taught Vo Nguyen Giap, the Vietnamese general who withstood the armies of France and the United States, how to throw a grenade.&#xa-   &#xa-The lesson came in July 1945, after Mr. Prunier and six other Americans had parachuted into a",2013-04-24T00:00:00Z,Henry Prunier,91,24,4,2013
"Shadow Morton, Songwriter and Producer, Dies at 71","Mr. Morton, with songs like “Remember (Walking in the Sand)” and “Leader of the Pack,” helped propel the Shangri-Las, a 1960s girl group from Queens, to stardom.",2013-02-16T00:00:00Z,Shadow Morton,71,16,2,2013
"Eliot H. Lumbard, 88, Dies- Pursued Mob Leaders",Mr. Lumbard drew new attention to organized crime after pursuing mob figures who were found to be meeting together in a rural New York town in 1957.,2013-11-18T00:00:00Z,Eliot H. Lumbard,88,18,11,2013
"Bryan Forbes, ‘Stepford Wives’ Director, Is Dead at 86","Mr. Forbes had a string of screenwriting credits and was also an actor and an author, but he was best remembered for the film that endures as an artifact of high camp and even as a quasi-feminist document.",2013-05-09T00:00:00Z,Bryan Forbes,86,9,5,2013
"Bum Phillips, Homespun Coach Behind Oilers’ Rise, Dies at 90",Phillips took over a downtrodden Houston team and took it to two consecutive American Football Conference championship games.,2013-10-20T00:00:00Z,Bum Phillips,90,20,10,2013
"Günther Förg, German Artist Who Made Modernism His Theme, Dies at 61","Mr. F&#246-rg was a painter, sculptor and photographer whose work exemplified, toyed with, tweaked and commented on modernism.",2013-12-21T00:00:00Z,Günther Förg,61,21,12,2013
"Graham Mackay, Who Built Beer Empire, Dies at 64","Mr. Mackay helped transform South Africa’s biggest brewer into SABMiller, one of the world’s biggest beer conglomerates.",2013-12-19T00:00:00Z,Graham Mackay,64,19,12,2013
"David Rogers, Stage Adapter of Offbeat Material, Dies at 85",Among the works Mr. Rogers produced was the book for a musical based on “Flowers for Algernon” and plays based on “Brave New World” and “The Sting.”,2013-06-30T00:00:00Z,David Rogers,85,30,6,2013
"Leroy Bonner, Frontman of Ohio Players, Dies at 69","Mr. Bonner, the musician better known as Sugarfoot, had a string of hits in the mid-1970s, as well as a lasting influence.",2013-01-29T00:00:00Z,Leroy Bonner,69,29,1,2013
"Dick Dodd, Lead Singer of the Standells, Dies at 68","The Standells’ most famous song, “Dirty Water,” became a hit in the mid-1960s and the anthem of Boston sports teams decades later.",2013-12-05T00:00:00Z,Dick Dodd,68,5,12,2013
"Henry A. Prunier, 91, U.S. Soldier Who Trained Vietnamese Troops, Dies","Mr. Prunier, originally recruited by the Army as a translator, was part of a clandestine mission to teach 200 Viet Minh guerrillas how to use American weapons.",2013-04-18T00:00:00Z,Henry A. Prunier,91,18,4,2013
"Al Goldstein, a Publisher Who Took the Romance Out of Sex, Dies at 77","Mr. Goldstein, the publisher of Screw magazine, was first to present sex to his audience without the slightest attempt at classiness or subtlety.",2013-12-20T00:00:00Z,Al Goldstein,77,20,12,2013
"Richard D. Heffner, Host of ‘The Open Mind,’ Dies at 88","Mr. Heffner’s background as a historian helped him carve out careers in education, broadcasting and in rating films.",2013-12-20T00:00:00Z,Richard D. Heffner,88,20,12,2013
"William Miles, Maker of Films About Black History, Dies at 82","Among other topics, Mr. Miles, who specialized in unearthing lost material about forgotten subjects, made films about the history of Harlem and a black regiment that fought in World War I.",2013-05-19T00:00:00Z,William Miles,82,19,5,2013
Andy Granatelli Dies at 90- Revved Businesses and Cars,Mr. Granatelli turned STP oil treatment into a national institution and shook up auto racing’s establishment with his innovations.,2013-12-30T00:00:00Z,Andy Granatelli,90,30,12,2013
"Chuck Smith, Minister Who Preached to Flower Children, Dies at 86","Mr. Smith, a Southern California minister, preached fire-and-brimstone theology to Jesus Movement hippies.",2013-10-14T00:00:00Z,Chuck Smith,86,14,10,2013
"David Hubel, Nobel-Winning Scientist, Dies at 87",Dr. Hubel was half of a team that studied how the brain processed information from the retina. The findings led to a better understanding of how to treat certain birth defects.,2013-09-25T00:00:00Z,David Hubel,87,25,9,2013
"Ray Dolby, Who Put Moviegoers in the Middle of It, Is Dead at 80","Dr. Dolby, who founded Dolby Laboratories, transformed cinema and home entertainment with the development of Dolby digital surround sound.",2013-09-14T00:00:00Z,Ray Dolby,80,14,9,2013
"William Glasser, 88, Doctor Who Said One Could Choose Happiness, Is Dead","Dr. Glasser, through “choice theory,” posited that people were in much more control of their lives than they realized in solving emotional and mental problems.",2013-09-06T00:00:00Z,William Glasser,88,6,9,2013
"James Gordon, Who Paved Way for Lasers, Dies at 85","Mr. Gordon was a 25-year-old graduate student in physics when he helped develop the maser, which would lead to the building of the first laser.",2013-07-30T00:00:00Z,James Gordon,85,30,7,2013
"Robert Barnard, Award-Winning Writer of British Crime ‘Cozies,’ Dies at 76","Mr. Barnard, the author of 40 novels, was an accomplished creator of the “cozy” genre, murder mysteries that feature picturesque settings, colorful characters and minimal violence.",2013-09-29T00:00:00Z,Robert Barnard,76,29,9,2013
"Mel Smith, TV Actor, Director and Producer, Dies at 60","Mr. Smith performed in TV and movies, directed films like “The Tall Guy” and helped found a production company with successful comedy shows.",2013-07-25T00:00:00Z,Mel Smith,60,25,7,2013
"Kentucky: Boy, 5, Kills Sister, 2","A 5-year-old boy accidentally shot his 2-year-old sister to death in rural southern Kentucky with a rifle he had received as a gift last year, the authorities said.",2013-05-02T00:00:00Z,Kentucky: Boy,52,2,5,2013
"Andro Linklater, Who Re-Examined American Frontierism, Dies at 68","The Scottish historian wrote “Measuring America,” which stressed government surveying of the westward expansion, rather than the lone-wolf perception of pioneers.",2013-12-04T00:00:00Z,Andro Linklater,68,4,12,2013
"Leland Mitchell, Who Defied Racism on the Basketball Court, Dies at 72",A decision by Mitchell and his teammates to play in a N.C.A.A. tournament despite opposition was widely seen as the beginning of the end of segregation in college sports.,2013-07-11T00:00:00Z,Leland Mitchell,72,11,7,2013
"Tom Sharpe, Darkly Satirical British Novelist, Dies at 85","Mr. Sharpe, whose books included “Porterhouse Blue” and the Henry Wilt series, used crudity and excess to  take on targets like racism, the aristocracy and academia.",2013-06-09T00:00:00Z,Tom Sharpe,85,9,6,2013
Robert Holding Dies at 86- Held Vast Business Assets,"Robert Earl Holding, a Western entrepreneur who made his first fortune in the 1950s running a 24-hour service station in an otherwise desolate stretch of Wyoming and became a billionaire whose assets included  oil  refineries and ski slopes, among th",2013-04-26T00:00:00Z,Robert Holding,86,26,4,2013
"Robert Earl Holding, Wide-Ranging Entrepreneur, Dies at 86","Mr. Holding’s far-flung assets, including oil refineries, cattle, hotels and ski slopes, made him a billionaire.",2013-04-23T00:00:00Z,Robert Earl Holding,86,23,4,2013
Herbert M. Allison Jr. Dies at 69- Led Bailout Efforts,"Mr. Allison, a former Merrill Lynch president, was appointed to lead and help rescue a troubled Fannie Mae in 2008 and then ran a federal bank bailout program.",2013-07-17T00:00:00Z,Herbert M. Allison Jr.,69,17,7,2013
"Lansing Lamont, Journalist and Historian of Atomic Bomb, Dies at 83","Mr. Lamont, who wrote and edited several other books, was a longtime correspondent for Time.",2013-09-16T00:00:00Z,Lansing Lamont,83,16,9,2013
"Morris J. Kramer, 71, Lawyer At Skadden Known for Deals","Morris J. Kramer, who as a longtime partner at the law firm of Skadden, Arps, Slate, Meagher &#x26- Flom helped revolutionize the practice of advising on mergers and acquisitions, died on Friday morning in Manhattan. He was 71. &#xa-   &#xa-The cause",2013-04-24T00:00:00Z,Morris J. Kramer,71,24,4,2013
"Michael Weiner, Peacemaking Leader of Baseball Union, Dies at 51",Mr. Weiner forged agreements with baseball club owners that enhanced drug testing and brought years of labor peace to the game after decades of strife.,2013-11-22T00:00:00Z,Michael Weiner,51,22,11,2013
"Joseph Kelner, 98, Dies- Led Kent State Lawsuit","Besides Kent State, other high-profile cases included those of Bernhard Goetz, the subway vigilante, and a pair of fired baseball umpires.",2013-03-08T00:00:00Z,Joseph Kelner,98,8,3,2013
Allan Calhamer Dies at 81- Invented Diplomacy Game,"The objective of Mr. Calhamer’s game, reportedly a favorite of Henry Kissinger, is simple: to achieve world domination in as many hours (or days, or even years) as it takes.",2013-03-07T00:00:00Z,Allan Calhamer,81,7,3,2013
"Delbert Tibbs, Who Left Death Row and Fought Against It, Dies at 74","Mr. Tibbs, sentenced to death in 1974 for a murder and rape in Florida, was one of six people whose stories of wrongful conviction and near execution were told in the play “The Exonerated.”",2013-12-08T00:00:00Z,Delbert Tibbs,74,8,12,2013
"Joseph Eger, Horn Player and Activist, Is Dead at 92","Mr. Eger, a French horn player, was a conductor and advocate for progressive causes whose work sought to promote harmony in both senses of the word.",2013-01-23T00:00:00Z,Joseph Eger,92,23,1,2013
"Gary David Goldberg, Television Writer And Creator of ‘Family Ties,’ Dies at 68","Mr. Goldberg, a writer and producer, created warmhearted television shows, most notably the 1980s comedy that propelled Michael J. Fox to stardom.",2013-06-25T00:00:00Z,Gary David Goldberg,68,25,6,2013
"John Reilly, 74, a Champion of Documentary Video, Dies","Mr. Reilly — a founder of Global Village, a locus of underground video in Manhattan in the 1960s — taught and influenced countless documentarians.",2013-08-12T00:00:00Z,John Reilly,74,12,8,2013
"Fredrick L. McKissack, 73, Children’s Book Author, Dies","Mr. McKissack, with his wife, Patricia, wrote over 100 children’s books about African-American history.",2013-05-10T00:00:00Z,Fredrick L. McKissack,73,10,5,2013
"Richard L. Murphy, Who Aided Disadvantaged Youths, Dies at 68",Mr. Murphy helped tens of thousands in New York City through his community organization in Harlem and as the city’s youth commissioner.,2013-02-17T00:00:00Z,Richard L. Murphy,68,17,2,2013
Lawrence G. Foster Dies at 88- Helped Lead Tylenol Out of Cyanide Crisis,"Mr. Foster, the former vice president of public relations at Johnson & Johnson, helped formulate the company’s response to the multiple deaths related to cyanide-laced capsules of Tylenol.",2013-10-31T00:00:00Z,Lawrence G. Foster,88,31,10,2013
"Anthony Hinds, Who Scared British Moviegoers, Dies at 91","Mr. Hinds revived Hammer Films after World War II with monsters and werewolves, bankable stars and plenty of sex and gore.",2013-10-22T00:00:00Z,Anthony Hinds,91,22,10,2013
"Berthold Beitz, German Steel Industrialist Who Saved Jews, Dies at 99",Mr. Beitz was well known for his efforts to save hundreds of Jews and Poles from the Nazis while stationed in Poland during World War II.,2013-08-02T00:00:00Z,Berthold Beitz,99,2,8,2013
"Richard L. Murphy, Who Aided Disadvantaged Youths, Dies at 68",Mr. Murphy helped tens of thousands in New York City through his community organization in Harlem and as the city’s youth commissioner.,2013-02-17T00:00:00Z,Richard L. Murphy,68,17,2,2013
"Tom Christian, Descendant of Bounty Mutineer, Dies at 77","Mr. Christian, whose great-great-great-grandfather led the mutiny on the Bounty in 1789 and sought refuge on Pitcairn Island, kept the isle connected to the world.",2013-08-24T00:00:00Z,Tom Christian,77,24,8,2013
"Walt Arfons, a Pioneer With Cars Using Jet Engines, Dies at 96","Mr. Arfons, with his half brother, Art Arfons, built some of the fastest racecars of the 1950s and ’60s.",2013-06-16T00:00:00Z,Walt Arfons,96,16,6,2013
