headline , snippet , date,name,age,day of death,month of death,year of death
"Eddie Bond, Elvis Contemporary, Dies at 79","Mr. Bond was known, among other things, for telling a young Elvis Presley that he wouldn’t make it big as a singer.",2013-03-25T00:00:00Z,Eddie Bond,79,25,3,2013
"Miller Barber, 82, Golf Champion With Odd Swing, Dies",Barber was a popular and successful player on the P.G.A. Tour in the 1960s and went on to dominate in the early years of senior tournament play.,2013-06-13T00:00:00Z,Miller Barber,82,13,6,2013
"Lee Tanner, Jazz Performance Portraitist, Is Dead at 82","Mr. Tanner’s often ethereal images, which graced album covers, magazines, exhibitions and books, included subjects like Duke Ellington, Dizzy Gillespie and Thelonious Monk.",2013-09-16T00:00:00Z,Lee Tanner,82,16,9,2013
"Kenneth Battelle, 86, Hairdresser to the Stars, Dies","Mr. Battelle, often called the first celebrity hairdresser, defined the styles of famous names like Audrey Hepburn, Marilyn Monroe and Jacqueline Kennedy.",2013-05-14T00:00:00Z,Kenneth Battelle,86,14,5,2013
"Janos Starker, Master of the Cello, Dies at 88","Mr. Starker was widely known through his more than 150 recordings, including one of Bach’s six suites for solo cello for which he won a Grammy Award in 1998.",2013-04-30T00:00:00Z,Janos Starker,88,30,4,2013
Stan Tracey Dies at 86- Helped British Jazz Emerge From American Shadow,Mr. Tracey’s inspirations for some of his compositions were distinctly British in origin.,2013-12-13T00:00:00Z,Stan Tracey Dies at 86- Helped British Jazz Emerge From American Shadow,86,13,12,2013
"Lee Thompson Young, Detective on TV, Dies at 29",Mr. Young was an actor who played a child star on the Disney Channel show “The Famous Jett Jackson” and a detective on the hit TNT series “Rizzoli & Isles.”,2013-08-20T00:00:00Z,Lee Thompson Young,29,20,8,2013
"Frank Wess, 91, Saxophonist and Flutist With the Basie Band, Dies","Mr. Wess was not the first flutist in jazz, but his deft flute solos enjoyed a prominent platform: the front row of the Basie ensemble.",2013-11-04T00:00:00Z,Frank Wess,91,4,11,2013
"William Demby, Author of Experimental Novels, Dies at 90",Mr. Demby spent much of his career in Italy writing subtitles for Fellini and Rossellini movies.,2013-06-01T00:00:00Z,William Demby,90,1,6,2013
"Nevin S. Scrimshaw, Pioneer Nutritionist, Dies at 95",Dr. Scrimshaw helped build organizations dedicated to nutrition and improved the health of children in developing nations by making affordable gruels.,2013-02-13T00:00:00Z,Nevin S. Scrimshaw,95,13,2,2013
"Larry Selman, Who Aided Others $1 at a Time, Dies at 70","Mr. Selman, who was said to have a low I.Q. but was an active fund-raiser for multiple causes, was the subject of the 2002 documentary “The Collector of Bedford Street.”",2013-01-25T00:00:00Z,Larry Selman,,,,
