LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
40.8745379,-73.8666711,1,0,1384,0
40.8502936,-73.892678,1,0,1254,0
40.874569,-73.8692131,1,0,811,0
40.8797991,-73.8666211,1,0,1039,0
40.8515594,-73.8987883,1,0,1490,0
40.8780935,-73.8624415,1,0,1740,0
40.8520583,-73.9011465,1,0,2086,0
40.877309,-73.8547432,1,0,872,0
40.8572137,-73.8985196,1,0,1514,0
40.85745,-73.8950077,1,0,1933,0
40.8562296,-73.89249,1,0,1492,0
40.8796352,-73.8484023,1,0,2642,0
40.8580023,-73.8892229,1,0,1164,0
40.8795982,-73.8553665,1,0,860,0
40.8564319,-73.8849744,1,0,1802,0
40.8812352,-73.86076,1,0,968,0
40.8531215,-73.8871318,1,0,2395,0
40.8832885,-73.8647381,1,0,590,0
40.8525181,-73.8831358,1,0,3057,0
40.8864792,-73.8633993,1,0,1589,0
40.8481912,-73.8967151,1,0,1435,0
40.8844238,-73.8589556,1,0,1339,0
40.8619267,-73.8854132,1,0,549,0
40.882697,-73.8534698,1,0,1040,0
40.8635349,-73.8936413,1,0,1638,0
40.8604227,-73.8947478,1,0,1625,0
40.8646119,-73.8976515,1,0,1450,0
40.8678675,-73.892176,1,0,1380,0
40.869682,-73.8934561,1,0,1498,0
40.86767,-73.8951873,1,0,1219,0
40.8861691,-73.8513487,1,0,1038,0
40.8671472,-73.8908965,1,0,1349,0
40.865878,-73.8889613,1,0,2205,0
40.8879511,-73.8570053,1,0,1189,0
40.8715794,-73.8902604,1,0,1170,0
40.8691424,-73.8869998,1,0,2375,0
40.8897426,-73.861742,1,0,1499,0
40.87704,-73.8943325,1,0,1431,0
40.875562,-73.8871522,1,0,1155,0
40.8741039,-73.8851968,1,0,2793,0
40.9035525,-73.854095,1,0,1734,0
40.8701057,-73.8835532,1,0,2172,0
40.8971161,-73.8584601,1,0,1236,0
40.8768595,-73.8816851,1,0,2460,0
40.8930261,-73.8598558,1,0,1388,0
40.8814794,-73.8827627,1,0,2239,0
40.8910968,-73.8552807,1,0,1140,0
40.877008,-73.8773556,1,0,1428,0
40.8892857,-73.8495425,1,0,809,0
40.8710168,-73.8790971,1,0,2149,0
40.8908411,-73.8419292,1,0,2129,0
40.8945094,-73.845703,1,0,725,0
40.8749499,-73.8742925,1,0,1186,0
40.8771332,-73.8739243,1,0,1380,0
40.8934599,-73.8506574,1,0,997,0
40.8849455,-73.8784935,1,0,3446,0
40.898211,-73.8523371,1,0,1300,0
40.8952111,-73.8811111,1,0,12,0
40.8972795,-73.849759,1,0,678,0
40.9038676,-73.8462552,1,0,1257,0
40.8995005,-73.8437344,1,0,1311,0
40.8954712,-73.8413102,1,0,662,0
40.8974999,-73.8733943,1,0,872,0
40.8988257,-73.8689887,1,0,920,0
40.89744,-73.8643289,1,0,851,0
40.9003655,-73.864136,1,0,931,0
40.8873476,-73.8203804,1,0,1049,31.88582039
40.8858611,-73.8452028,1,0,2013,0
40.8824438,-73.8426481,1,0,979,0
40.8763935,-73.8260042,1,0,12426,0
40.8795116,-73.8341096,1,0,2547,0
40.8863099,-73.8345657,1,0,1197,0
40.8696967,-73.7956769,0,1,19,38.55079983
40.8387492,-73.782422,1,0,2025,4361.999981
42.1072646,-75.9413012,1,0,1459,0
42.1104535,-75.9316704,1,0,1443,0
42.115501,-75.9176439,1,0,1254,1150.663106
42.1180749,-75.8985976,1,0,992,1613.637595
42.1072293,-75.9050365,1,0,835,16.68129502
42.1132897,-75.8915226,1,0,968,103.7054208
42.11073,-75.8737195,1,0,1516,214.5403856
42.0989942,-75.8889052,1,0,766,0
42.0976956,-75.9052023,1,0,918,0
42.1004877,-75.9107361,1,0,789,31.51071262
42.1027738,-75.9246835,1,0,1108,8.306491017
42.0949492,-75.9245083,1,0,2275,0
42.0974534,-75.9383978,1,0,2073,13.84356809
42.0834516,-75.9268831,1,0,1078,505.0454171
42.0822183,-75.9063022,1,0,1944,287.3541133
42.092913,-75.8902716,1,0,1732,0
42.1961172,-76.016638,0,1,2106,5376.999988
42.3555318,-75.9284017,0,1,1133,1952.757435
42.2650046,-75.911308,0,1,1021,2731.999998
42.3793043,-76.0559969,0,1,1068,2509.62005
42.2849366,-76.026586,0,1,601,1672.000015
42.2174896,-75.8790269,1,0,1574,3542.765981
42.1753826,-75.8654286,1,0,1622,3699.164851
42.1953666,-75.9266761,0,1,1411,2092.939451
42.1528533,-75.8471262,0,1,1070,822.8315845
42.2014923,-75.8033098,0,1,1678,4153
42.1795099,-75.6504297,0,1,2004,5232.000007
42.0911338,-75.4961927,0,1,970,1534.14102
42.0638261,-75.6724183,0,1,2397,5151.4554
42.0915746,-75.7993599,0,1,2392,4347.033947
42.0407205,-75.8350383,1,0,2176,3657.327812
42.0350532,-75.9055509,0,1,1894,4072.725679
42.130568,-75.9180543,0,1,2044,2180.931872
42.1522758,-75.9766029,0,1,668,1516.032118
42.1236908,-76.0002165,0,1,1816,1458.636599
42.1055801,-76.0270896,1,0,1264,695.1232892
42.1131957,-76.0279596,1,0,998,917.6184773
42.1239457,-76.0310931,1,0,1547,0.234632328
